condition,success,fidelity_score_total,fidelity_omission,fidelity_numeric,fidelity_temporal,fidelity_physical_vanishing,fidelity_composite,fidelity_with_notes
2Among5Colour,0,4.9474,0.0,0.7895,3.9474,0.2105,1.9789,1.9895
2Among5Colour,1,4.1765,0.0,0.6471,3.2941,0.2353,1.6706,1.6824
2Among5ConjRed,0,5.7,0.1333,1.9333,3.4,0.2333,2.28,2.2933
2Among5ConjRed,1,3.6667,0.0,0.8333,2.8333,0.0,1.4667,1.4667
2Among5NoColour,0,5.1935,0.129,1.2903,3.4839,0.2903,2.0774,2.0774
2Among5NoColour,1,4.8,0.2,0.6,3.8,0.2,1.92,1.92
NoDistractors,1,2.6667,0.0,0.0,2.6667,0.0,1.0667,1.0667
